,id,name,address
0,parking_1,Bãi Đỗ Xe VSIP 1,"Đường số 2, Khu Công Nghiệp VSIP I, Thủ Dầu Một, Bình Dương"
1,parking_2,Bãi Đỗ Xe Tân Bình,"246 Đường D1, Khu Công Nghiệp VSIP I, Thủ Dầu Một, Bình Dương"
2,parking_3,Bãi Đỗ Xe Mỹ Phước,"Khu Công Nghiệp Mỹ Phước 1, Bến Cát, Bình Dương"
3,parking_4,Bãi Đỗ Xe Mỹ Phước 2,"Khu Công Nghiệp Mỹ Phước 2, Bến Cát, Bình Dương"
4,parking_5,Bãi Đỗ Xe Trảng Bàng,"Đường Nguyễn Thái Học, Trảng Bàng, Tây Ninh"
5,parking_6,Bãi Đỗ Xe Lê Lợi,"100 Đường Lê Lợi, Trảng Bàng, Tây Ninh"
6,parking_7,Bãi Đỗ Xe Ngã Ba Vũng Tàu,"Quốc lộ 51, Ngã Ba Vũng Tàu, Long Thành, Đồng Nai"
7,parking_8,Bãi Đỗ Xe Thế Giới Di Động,"64 Quốc lộ 51, Long Thành, Đồng Nai"
8,parking_9,Bãi Đỗ Xe Cần Thơ,"Đường Trần Văn Khéo, P. An Khánh, Q. Ninh Kiều, TP. Cần Thơ"
9,parking_10,Bãi Đỗ Xe Chợ Nổi Cái Răng,"Khu vực chợ nổi, Cái Răng, TP. Cần Thơ"
10,parking_11,Bãi Đỗ Xe Mỹ Tho,"Đường 30 Tháng 4, P. 1, TP. Mỹ Tho, Tiền Giang"
11,parking_12,Bãi Đỗ Xe Bến Tre,"Đường Nguyễn Thị Định, TP. Bến Tre"
12,parking_13,Bãi Đỗ Xe Trà Vinh,"Đường Lê Lợi, P. 1, TP. Trà Vinh"
13,parking_14,Bãi Đỗ Xe Sóc Trăng,"Đường Phú Lợi, P. 2, TP. Sóc Trăng"
14,parking_15,Bãi Đỗ Xe Long An,"Khu vực Bến Xe Long An, TP. Tân An, Long An"
15,parking_16,Bãi Đỗ Xe An Giang,"Khu vực Bến Xe An Giang, TP. Long Xuyên"
16,parking_17,Bãi Đỗ Xe Kiên Giang,"Khu vực Bến Xe Kiên Giang, TP. Rạch Giá"
17,parking_18,Bãi Đỗ Xe Vĩnh Long,"Khu vực Bến Xe Vĩnh Long, TP. Vĩnh Long"
